"Layer","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",166,0.746987951807229,0.759036144578313,0.680722891566265,0.686746987951807,0.716867469879518,0.692771084337349,0.704819277108434,0.771084337349398
"CD",166,0.746987951807229,0.746987951807229,0.759036144578313,0.753012048192771,0.753012048192771,0.728915662650602,0.734939759036145,0.771084337349398
"ICS",166,0.662650602409639,0.680722891566265,0.716867469879518,0.753012048192771,0.771084337349398,0.759036144578313,0.77710843373494,0.771084337349398
