"Layer","nK","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",2,67,0.597014925373134,0.462686567164179,0.567164179104478,0.507462686567164,0.492537313432836,0.522388059701492,0.567164179104478,0.582089552238806
"CD",2,67,0.91044776119403,0.626865671641791,0.582089552238806,0.537313432835821,0.597014925373134,0.567164179104478,0.626865671641791,0.582089552238806
"ICS",2,67,0.597014925373134,0.597014925373134,0.447761194029851,0.656716417910448,0.582089552238806,0.626865671641791,0.641791044776119,0.582089552238806
