"Layer","nK","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",2,142,0.809859154929577,0.809859154929577,0.774647887323944,0.809859154929577,0.809859154929577,0.809859154929577,0.795774647887324,0.830985915492958
"CD",2,142,0.838028169014085,0.823943661971831,0.845070422535211,0.823943661971831,0.852112676056338,0.795774647887324,0.816901408450704,0.830985915492958
"ICS",2,142,0.830985915492958,0.78169014084507,0.802816901408451,0.830985915492958,0.830985915492958,0.830985915492958,0.859154929577465,0.830985915492958
