"Layer","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",142,0.830985915492958,0.795774647887324,0.788732394366197,0.78169014084507,0.809859154929577,0.809859154929577,0.816901408450704,0.830985915492958
"CD",142,0.809859154929577,0.816901408450704,0.809859154929577,0.774647887323944,0.767605633802817,0.767605633802817,0.78169014084507,0.830985915492958
"ICS",142,0.795774647887324,0.795774647887324,0.795774647887324,0.78169014084507,0.78169014084507,0.802816901408451,0.795774647887324,0.830985915492958
