"Layer","nK","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",2,166,0.801204819277108,0.710843373493976,0.716867469879518,0.765060240963855,0.728915662650602,0.740963855421687,0.746987951807229,0.771084337349398
"CD",2,166,0.795180722891566,0.746987951807229,0.753012048192771,0.77710843373494,0.765060240963855,0.72289156626506,0.734939759036145,0.771084337349398
"ICS",2,166,0.783132530120482,0.728915662650602,0.746987951807229,0.728915662650602,0.740963855421687,0.746987951807229,0.795180722891566,0.771084337349398
