"Layer","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",67,0.686567164179104,0.597014925373134,0.507462686567164,0.582089552238806,0.597014925373134,0.597014925373134,0.582089552238806,0.582089552238806
"CD",67,0.567164179104478,0.582089552238806,0.597014925373134,0.597014925373134,0.582089552238806,0.567164179104478,0.597014925373134,0.582089552238806
"ICS",67,0.641791044776119,0.626865671641791,0.582089552238806,0.686567164179104,0.716417910447761,0.686567164179104,0.656716417910448,0.582089552238806
