"Layer","nK","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",2,67,0.686567164179104,0.522388059701492,0.432835820895522,0.462686567164179,0.522388059701492,0.507462686567164,0.552238805970149,0.582089552238806
"CD",2,67,0.940298507462687,0.626865671641791,0.597014925373134,0.552238805970149,0.582089552238806,0.537313432835821,0.626865671641791,0.582089552238806
"ICS",2,67,0.611940298507463,0.552238805970149,0.537313432835821,0.656716417910448,0.567164179104478,0.552238805970149,0.641791044776119,0.582089552238806
