"Layer","nK","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",2,166,0.819277108433735,0.692771084337349,0.680722891566265,0.698795180722892,0.674698795180723,0.668674698795181,0.698795180722892,0.771084337349398
"CD",2,166,0.939759036144578,0.759036144578313,0.753012048192771,0.72289156626506,0.728915662650602,0.746987951807229,0.704819277108434,0.771084337349398
"ICS",2,166,0.819277108433735,0.740963855421687,0.692771084337349,0.740963855421687,0.710843373493976,0.759036144578313,0.753012048192771,0.771084337349398
