"Layer","nK","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",2,55,0.581818181818182,0.527272727272727,0.472727272727273,0.6,0.581818181818182,0.581818181818182,0.490909090909091,0.618181818181818
"CD",2,55,0.709090909090909,0.581818181818182,0.636363636363636,0.654545454545455,0.636363636363636,0.563636363636364,0.563636363636364,0.618181818181818
"ICS",2,55,0.563636363636364,0.472727272727273,0.6,0.709090909090909,0.654545454545455,0.581818181818182,0.672727272727273,0.618181818181818
