"Layer","nK","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",2,166,0.819277108433735,0.674698795180723,0.650602409638554,0.662650602409639,0.686746987951807,0.644578313253012,0.644578313253012,0.771084337349398
"CD",2,166,0.927710843373494,0.728915662650602,0.728915662650602,0.734939759036145,0.698795180722892,0.686746987951807,0.668674698795181,0.771084337349398
"ICS",2,166,0.795180722891566,0.716867469879518,0.662650602409639,0.686746987951807,0.662650602409639,0.698795180722892,0.698795180722892,0.771084337349398
