"Layer","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",55,0.709090909090909,0.6,0.654545454545455,0.636363636363636,0.654545454545455,0.618181818181818,0.618181818181818,0.618181818181818
"CD",55,0.563636363636364,0.6,0.527272727272727,0.581818181818182,0.6,0.618181818181818,0.618181818181818,0.618181818181818
"ICS",55,0.618181818181818,0.654545454545455,0.618181818181818,0.636363636363636,0.636363636363636,0.618181818181818,0.6,0.618181818181818
