"Layer","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",67,0.477611940298507,0.477611940298507,0.477611940298507,0.477611940298507,0.477611940298507,0.477611940298507,0.477611940298507,0.582089552238806
"CD",67,0.597014925373134,0.582089552238806,0.582089552238806,0.582089552238806,0.582089552238806,0.582089552238806,0.582089552238806,0.582089552238806
"ICS",67,0.582089552238806,0.477611940298507,0.477611940298507,0.477611940298507,0.477611940298507,0.477611940298507,0.477611940298507,0.582089552238806
