"Layer","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",67,0.641791044776119,0.537313432835821,0.537313432835821,0.582089552238806,0.611940298507463,0.611940298507463,0.626865671641791,0.582089552238806
"CD",67,0.582089552238806,0.597014925373134,0.522388059701492,0.582089552238806,0.597014925373134,0.597014925373134,0.597014925373134,0.582089552238806
"ICS",67,0.611940298507463,0.656716417910448,0.626865671641791,0.626865671641791,0.656716417910448,0.626865671641791,0.611940298507463,0.582089552238806
