"Layer","N","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Guessing"
"PS",67,0.641791044776119,0.522388059701492,0.522388059701492,0.597014925373134,0.611940298507463,0.626865671641791,0.641791044776119,0.582089552238806
"CD",67,0.567164179104478,0.597014925373134,0.522388059701492,0.567164179104478,0.611940298507463,0.611940298507463,0.611940298507463,0.582089552238806
"ICS",67,0.611940298507463,0.626865671641791,0.611940298507463,0.641791044776119,0.641791044776119,0.626865671641791,0.626865671641791,0.582089552238806
